"Part";"Value";"Device";"Package";"Description";"3D_PACKAGE";"ALLIED_NUMBER";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"OTHER_PART_NUMBER";"PARTNUMBER";"RS_PART_NUMBER";"SUPPLIER_NAME";
"9DOF_RESET";"";"SWITCH_PUSHBUTTONEVQ-PE";"TACT_PANA-EVQ";"Buttons";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"B1";"CR1220";"BATTERYCR1220_SMT";"CR1220";"CR1220 SMT - Digikey: 3001K-ND";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BAT1";"3.7V";"JST_2PIN-THM-RA";"JST-PH-2-THM-RA";"JST 2-Pin Connectors of various flavors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"BREAKOUT";"22-23-2041";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"";"";"";"";"";"";"MOLEX";"22-23-2041";"1462920";"38C0355";"";"";"";"";
"C1";"0.1uF";"C-EU075-052X106";"C075-052X106";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"1uF";"CPOL-US085CS-1AR";"085CS_1AR";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"10uF";"CPOL-US085CS-1AR";"085CS_1AR";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"100n";"CAPACITOR-0402";"C0402";"Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"100n";"CAPACITOR-0402";"C0402";"Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";"2u2";"CAPACITOR-0402";"C0402";"Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C7";"2u2";"CAPACITOR-0402";"C0402";"Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C8";"0.1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C9";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C10";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C11";"0.1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C12";"0.1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C13";"10uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C14";"0.1uF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
